id,village,rus_village,lat,lon,lang,aff,family,standard,default_level,dialect_toplevel,dialect_toplevel_cyr,dialect_nt1,dialect_nt1_cyr,dialect_nt2,dialect_nt2_cyr,dialect_nt3,dialect_nt3_cyr,village_dialect,gltc_lang,lang_col,aff_col,dataset_version
274,Noyrukh,Нойрух,42.193895,46.38005,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Noyrukh,avar1256,#009999,#009999,2025-03-20
278,Nukhotkolob,Нухотколоб,42.23195,46.265721,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Nukhotkolob,avar1256,#009999,#009999,2025-03-20
279,Oboda,Обода,42.578542,46.668203,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Oboda,avar1256,#009999,#009999,2025-03-20
285,Orota,Орота,42.65915,46.53772,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Orota,avar1256,#009999,#009999,2025-03-20
286,Ortakolo,Ортаколо,42.67057,46.38882,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Ortakolo,avar1256,#009999,#009999,2025-03-20
288,Ochlo,Очло,42.642518,46.64532,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Ochlo,avar1256,#009999,#009999,2025-03-20
291,Ravkvatl,Равкватль,42.372636,46.57905,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,NA,NA,NA,NA,Ravkvatl,avar1256,#009999,#009999,2025-03-20
292,Rakhata,Рахата,42.6911,46.1414,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Rakhata,avar1256,#009999,#009999,2025-03-20
294,Rosnob,Росноб,42.2522543,46.3708053,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Rosnob,avar1256,#009999,#009999,2025-03-20
295,Rosta,Роста,42.20056,46.39667,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Rosta,avar1256,#009999,#009999,2025-03-20
298,Rugelda,Ругельда,42.3175,46.5244,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Qeleb,келебский,NA,NA,NA,NA,Rugelda,avar1256,#009999,#009999,2025-03-20
301,Sabda,Сабда,42.311355,46.371346,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Sabda,avar1256,#009999,#009999,2025-03-20
302,Salda,Салда,41.97497,46.50848,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Tomur,томурский,NA,NA,Salda,avar1256,#009999,#009999,2025-03-20
305,Saniorta,Саниорта,42.03195,46.44246,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Saniorta,avar1256,#009999,#009999,2025-03-20
306,Santa,Санта,42.242163,46.254323,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Santa,avar1256,#009999,#009999,2025-03-20
307,Saraf,Сараф,42.204449,46.316987,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Saraf,avar1256,#009999,#009999,2025-03-20
308,Sasitli,Саситли,42.496173,45.996762,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Sasitli,avar1256,#009999,#009999,2025-03-20
312,Sikar,Сикар,42.07966,46.41127,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Sikar,avar1256,#009999,#009999,2025-03-20
314,Sildi,Сильди,42.4552,45.92715,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Sildi,avar1256,#009999,#009999,2025-03-20
315,Sinida,Синида,42.20341,46.39071,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Sinida,avar1256,#009999,#009999,2025-03-20
316,Siukh,Сиух,42.5999,46.54462,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Siukh,avar1256,#009999,#009999,2025-03-20
319,Somoda,Сомода,42.30272,46.5368,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Qeleb,келебский,NA,NA,NA,NA,Somoda,avar1256,#009999,#009999,2025-03-20
320,Sredniy Aradirikh,Средний Арадирих,42.68121,46.58022,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Sredniy Aradirikh,avar1256,#009999,#009999,2025-03-20
322,Staryy Sivukh,Старый Сивух,42.80278,46.43694,Avar,Avar-Andic,East Caucasian,NA,Avar,NA,NA,NA,NA,NA,NA,NA,NA,Staryy Sivukh,avar1256,#009999,#009999,2025-03-20
326,Tadiyal,Тадиял,42.11099,46.4823,Avar,Avar-Andic,East Caucasian,NA,Avar,Southern Avar,Южноаварский,Antsukh,анцухский,Bukhnada,Бухнадинский,NA,NA,Tadiyal,avar1256,#009999,#009999,2025-03-20
327,Talsukh,Талсух,42.04741,46.40589,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Talsukh,avar1256,#009999,#009999,2025-03-20
329,Tamuda,Тамуда,42.21001,46.382,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Tamuda,avar1256,#009999,#009999,2025-03-20
330,Tando,Тандо,42.707696,46.175693,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Tando,avar1256,#009999,#009999,2025-03-20
331,Tantari,Тантари,42.76371,46.64888,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Tantari,avar1256,#009999,#009999,2025-03-20
332,Tanusi,Тануси,42.58233,46.69233,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Tanusi,avar1256,#009999,#009999,2025-03-20
334,Tasuta,Тасута,42.71731,46.22568,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Tasuta,avar1256,#009999,#009999,2025-03-20
335,Tekita,Текита,42.630886,46.521832,Avar,Avar-Andic,East Caucasian,NA,Avar,NA,NA,NA,NA,NA,NA,NA,NA,Tekita,avar1256,#009999,#009999,2025-03-20
338,Tidib,Тидиб,42.3889,46.5742,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,Urada,урадинский,NA,NA,Tidib,avar1256,#009999,#009999,2025-03-20
339,Tilanib,Тиланиб,42.306633,46.350255,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Tilanib,avar1256,#009999,#009999,2025-03-20
340,Tilutl,Тилутль,42.109733,46.349325,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsros-Unhada,анцрос-унхадинский,NA,NA,Tilutl,avar1256,#009999,#009999,2025-03-20
341,Tinchuda,Тинчуда,42.19861,46.45306,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Tinchuda,avar1256,#009999,#009999,2025-03-20
342,Tlaylukh,Тлайлух,42.6212754,46.5237166,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Tlaylukh,avar1256,#009999,#009999,2025-03-20
343,Tlezda,Тлезда,42.4265358,46.4888366,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,North-Eastern Avar,северовосточноаварский,Teletli,телетлинский,Tlezda,avar1256,#009999,#009999,2025-03-20
344,Tlobzoda,Тлобзода,42.17944,46.37111,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Tlobzoda,avar1256,#009999,#009999,2025-03-20
346,Tlokh,Тлох,42.6492,46.4578,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Tlokh,avar1256,#009999,#009999,2025-03-20
347,Tlyanada,Тлянада,42.02864,46.51038,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Tlyanada,avar1256,#009999,#009999,2025-03-20
348,Tlyarata,Тлярата,42.106187,46.354908,Avar,Avar-Andic,East Caucasian,NA,Avar,NA,NA,NA,NA,NA,NA,NA,NA,Tlyarata,avar1256,#009999,#009999,2025-03-20
351,Tlyakh,Тлях,42.389928,46.540021,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,Tlaq,тляхский,NA,NA,Tlyakh,avar1256,#009999,#009999,2025-03-20
352,Tokh,Тох,42.222292,46.291546,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Tokh,avar1256,#009999,#009999,2025-03-20
353,Tokh-Orda,Тох-Орда,42.11174,46.35982,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsros-Unhada,анцрос-унхадинский,NA,NA,Tokh-Orda,avar1256,#009999,#009999,2025-03-20
354,Tokhota,Тохота,42.0178,46.4639,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Tokhota,avar1256,#009999,#009999,2025-03-20
355,Tumagari,Тумагари,42.58165,46.60662,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Tumagari,avar1256,#009999,#009999,2025-03-20
359,Ukal,Укал,42.12163,46.34771,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsros-Unhada,анцрос-унхадинский,NA,NA,Ukal,avar1256,#009999,#009999,2025-03-20
360,Ulgeb,Ульгеб,41.964253,46.523688,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Tomur,томурский,NA,NA,Ulgeb,avar1256,#009999,#009999,2025-03-20
365,Urada,Урада,42.3822,46.5617,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,Urada,урадинский,NA,NA,Urada,avar1256,#009999,#009999,2025-03-20
366,Uradakolob,Урадаколоб,42.389247,46.538713,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,NA,NA,NA,NA,Uradakolob,avar1256,#009999,#009999,2025-03-20
368,Urib,Уриб,42.4564,46.6736,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,North-Eastern Avar,северовосточноаварский,Teletli,телетлинский,Urib,avar1256,#009999,#009999,2025-03-20
372,Urchukh,Урчух,42.325548,46.495518,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Qeleb,келебский,NA,NA,NA,NA,Urchukh,avar1256,#009999,#009999,2025-03-20
374,Khadakolob,Хадаколоб,42.231683,46.261819,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Khadakolob,avar1256,#009999,#009999,2025-03-20
375,Khadiyal,Хадиял,42.0989,46.4653,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Khadiyal,avar1256,#009999,#009999,2025-03-20
378,Khamakal,Хамакал,42.428109,46.674497,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Qahib,кахибский,NA,NA,NA,NA,Khamakal,avar1256,#009999,#009999,2025-03-20
379,Khamar,Хамар,42.095868,46.383695,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsros-Unhada,анцрос-унхадинский,NA,NA,Khamar,avar1256,#009999,#009999,2025-03-20
380,Khantakolob,Хантаколоб,42.21944,46.29083,Avar,Avar-Andic,East Caucasian,NA,Avar,NA,NA,NA,NA,NA,NA,NA,NA,Khantakolob,avar1256,#009999,#009999,2025-03-20
381,Kharada,Харада,42.222648,46.258528,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Kharada,avar1256,#009999,#009999,2025-03-20
382,Kharakhi,Харахи,42.6433,46.5211,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Kharakhi,avar1256,#009999,#009999,2025-03-20
384,Kharib,Хариб,42.5911497,46.3972842,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Kharib,avar1256,#009999,#009999,2025-03-20
392,Khebda,Хебда,42.437671,46.5473635,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,mixed,смешанный,NA,NA,NA,NA,Khebda,avar1256,#009999,#009999,2025-03-20
394,Kheleturi,Хелетури,42.612495,46.225440999999996,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Kheleturi,avar1256,#009999,#009999,2025-03-20
396,Khidib,Хидиб,42.17812,46.36299,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Khidib,avar1256,#009999,#009999,2025-03-20
397,Khimakoro,Химакоро,42.590092,46.617523,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Khimakoro,avar1256,#009999,#009999,2025-03-20
398,Khindakh,Хиндах,42.29807,46.39071,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Khindakh,avar1256,#009999,#009999,2025-03-20
400,Khintida,Хинтида,42.220547,46.275395,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Khintida,avar1256,#009999,#009999,2025-03-20
403,Khobokh,Хобох,42.204624,46.379234,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Khobokh,avar1256,#009999,#009999,2025-03-20
404,Khonokh,Хонох,42.317215,46.51048,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Qeleb,келебский,NA,NA,NA,NA,Khonokh,avar1256,#009999,#009999,2025-03-20
406,Khoroda,Хорода,42.25629,46.42114,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Khoroda,avar1256,#009999,#009999,2025-03-20
407,Khorta,Хорта,42.19329,46.35976,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Khorta,avar1256,#009999,#009999,2025-03-20
408,Khotlob,Хотлоб,42.201243,46.432755,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Khotlob,avar1256,#009999,#009999,2025-03-20
409,Khotoda,Хотода,42.39393,46.559446,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,NA,NA,NA,NA,Khotoda,avar1256,#009999,#009999,2025-03-20
414,Khuchada,Хучада,42.400235,46.469178,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,NA,NA,NA,NA,Khuchada,avar1256,#009999,#009999,2025-03-20
418,Tsalkita,Цалкита,42.61798,46.57339,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Tsalkita,avar1256,#009999,#009999,2025-03-20
420,Tsanatl,Цанатль,42.72244,46.62252,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Tsanatl,avar1256,#009999,#009999,2025-03-20
422,Tselmes,Цельмес,42.623464,46.538549,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Tselmes,avar1256,#009999,#009999,2025-03-20
426,Tsilitl,Цилитль,42.8125,46.4156,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Tsilitl,avar1256,#009999,#009999,2025-03-20
427,Tsimguda,Цимгуда,42.01269,46.5665,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Tsimguda,avar1256,#009999,#009999,2025-03-20
428,Tsikhalakh,Цихалах,42.408702,45.824852,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Tsikhalakh,avar1256,#009999,#009999,2025-03-20
430,Tsiyab-Tsilitli,Цияб-Цилитли,42.8105097,46.4181434,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Tsiyab-Tsilitli,avar1256,#009999,#009999,2025-03-20
432,Tsoloda,Цолода,42.63827,46.36626,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Tsoloda,avar1256,#009999,#009999,2025-03-20
434,Tsumilukh,Цумилух,42.05974,46.41242,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Tsumilukh,avar1256,#009999,#009999,2025-03-20
435,Tsundi,Цунди,42.740996,46.436577,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Tsundi,avar1256,#009999,#009999,2025-03-20
437,Chadakolob,Чадаколоб,42.19182,46.31981,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Chadakolob,avar1256,#009999,#009999,2025-03-20
441,Charakh,Чарах,42.30607,46.35715,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Charakh,avar1256,#009999,#009999,2025-03-20
445,Childa,Чилда,42.16328,46.34734,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Childa,avar1256,#009999,#009999,2025-03-20
449,Chitl,Читль,42.722594,46.504009,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Chitl,avar1256,#009999,#009999,2025-03-20
450,Chododa,Чодода,42.193439,46.314784,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Chododa,avar1256,#009999,#009999,2025-03-20
452,Chondotl,Чондотль,42.547749,46.659112,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Chondotl,avar1256,#009999,#009999,2025-03-20
454,Choroda,Чорода,41.98096,46.49696,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Tomur,томурский,NA,NA,Choroda,avar1256,#009999,#009999,2025-03-20
459,Shabdukh,Шабдух,42.75612,46.42139,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Shabdukh,avar1256,#009999,#009999,2025-03-20
463,Shidib,Шидиб,42.214353,46.300745,Avar,Avar-Andic,East Caucasian,NA,Avar,Southern Avar,Южноаварский,Antsukh,анцухский,Tash,Ташский,NA,NA,Shidib,avar1256,#009999,#009999,2025-03-20
465,Shodroda,Шодрода,42.678426,46.12155,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Shodroda,avar1256,#009999,#009999,2025-03-20
466,Shotoda,Шотода,42.5824853,46.5788492,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Shotoda,avar1256,#009999,#009999,2025-03-20
467,Shotota,Шотота,42.58165,46.57729,Avar,Avar-Andic,East Caucasian,NA,Avar,NA,NA,NA,NA,NA,NA,NA,NA,Shotota,avar1256,#009999,#009999,2025-03-20
471,Ebuta,Эбута,42.59275,46.66626,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Ebuta,avar1256,#009999,#009999,2025-03-20
474,Standard Avar,NA,42.43056,46.66639,Avar,Avar-Andic,East Caucasian,Standard Avar,Avar,NA,NA,NA,NA,NA,NA,NA,NA,NA,avar1256,#009999,#009999,2025-03-20
475,Gimerso,Гимерсо,42.561489,46.227545,Bagvalal,Avar-Andic,East Caucasian,NA,Bagvalal,Western Bagvalal,Западнобагвалинский,Kvanada-Gimerso,Квандинско-гимерсинский,NA,NA,NA,NA,Gimerso,bagv1239,#000066,#9900ff,2025-03-20
476,Kvanada,Кванада,42.561478,46.17397,Bagvalal,Avar-Andic,East Caucasian,NA,Bagvalal,Western Bagvalal,Западнобагвалинский,Kvanada-Gimerso,Квандинско-гимерсинский,NA,NA,NA,NA,Kvanada,bagv1239,#000066,#9900ff,2025-03-20
477,Tlenkhori,Тленхори,42.4681009,46.0549675,Bagvalal,Avar-Andic,East Caucasian,NA,Bagvalal,Western Bagvalal,Западнобагвалинский,NA,NA,NA,NA,NA,NA,Tlenkhori,bagv1239,#000066,#9900ff,2025-03-20
478,Tlibisho,Тлибишо,42.56054,46.30101,Bagvalal,Avar-Andic,East Caucasian,NA,Bagvalal,Eastern Bagvalal,Восточнобагвалинский,Tlisi-Tlibisho,Тлисси-тлибишинский,NA,NA,NA,NA,Tlibisho,bagv1239,#000066,#9900ff,2025-03-20
479,Tlisi,Тлиси,42.56209,46.27428,Bagvalal,Avar-Andic,East Caucasian,NA,Bagvalal,Eastern Bagvalal,Восточнобагвалинский,Tlisi-Tlibisho,Тлисси-тлибишинский,NA,NA,NA,NA,Tlisi,bagv1239,#000066,#9900ff,2025-03-20
480,Tlondoda,Тлондода,42.5247,46.1989,Bagvalal,Avar-Andic,East Caucasian,NA,Bagvalal,Western Bagvalal,Западнобагвалинский,Tlondoda-Khushtada,Тлондинско-хуштадинский,NA,NA,NA,NA,Tlondoda,bagv1239,#000066,#9900ff,2025-03-20
481,Khushtada,Хуштада,42.517389,46.166126,Bagvalal,Avar-Andic,East Caucasian,NA,Bagvalal,Western Bagvalal,Западнобагвалинский,Tlondoda-Khushtada,Тлондинско-хуштадинский,NA,NA,NA,NA,Khushtada,bagv1239,#000066,#9900ff,2025-03-20
482,Ankho,Анхо,42.723184,46.239448,Botlikh,Avar-Andic,East Caucasian,NA,Botlikh,Botlikh,Ботлихский,NA,NA,NA,NA,NA,NA,Ankho,botl1242,#336699,#9900ff,2025-03-20
483,Ashino,Ашино,42.683462,46.156727,Botlikh,Avar-Andic,East Caucasian,NA,Botlikh,Botlikh,Ботлихский,NA,NA,NA,NA,NA,NA,Ashino,botl1242,#336699,#9900ff,2025-03-20
484,Botlikh,Ботлих,42.667813,46.221451,Botlikh,Avar-Andic,East Caucasian,NA,Botlikh,Botlikh,Ботлихский,NA,NA,NA,NA,NA,NA,Botlikh,botl1242,#336699,#9900ff,2025-03-20
485,Miarso,Миарсо,42.654059,46.175643,Botlikh,Avar-Andic,East Caucasian,NA,Botlikh,Miarso,Миарсинский,NA,NA,NA,NA,NA,NA,Miarso,botl1242,#336699,#9900ff,2025-03-20
486,Agvali,Агвали,42.541192,46.121798,Chamalal,Avar-Andic,East Caucasian,NA,Chamalal,NA,NA,NA,NA,NA,NA,NA,NA,Agvali,cham1309,#000099,#9900ff,2025-03-20
487,Batlakhatli,Батлахатли,42.580364,46.058877,Chamalal,Avar-Andic,East Caucasian,NA,Chamalal,NA,NA,NA,NA,NA,NA,NA,NA,Batlakhatli,cham1309,#000099,#9900ff,2025-03-20
488,Verkhnee Gakvari,Верхнее Гаквари,42.547874,46.032686,Chamalal,Avar-Andic,East Caucasian,NA,Chamalal,Upper Gakvari,Верхнегакваринский,NA,NA,NA,NA,NA,NA,Verkhnee Gakvari,cham1309,#000099,#9900ff,2025-03-20
